Metric,Pink Noise,OU Process,Uniform
Initial MAE%,1.01%,2.53%,1.69%
Final MAE%,2.44%,4.46%,3.60%
Improvement,+142%,+76%,+113%
Iterations to Safety,5+ (not yet),1,3
Times Adapted,5/5 (100%),1/5 (20%),3/5 (60%)
Initial Exploitable,36.0%,12.7%,16.2%
Final Exploitable,15.4%,7.6%,8.0%
Initial Price Deviation,$13.06 (4.00%),$10.16 (3.11%),$4.82 (1.48%)
Final Price Deviation,$44.95 (13.77%),$18.26 (5.59%),$10.67 (3.27%)
Adversary R²,0.9994,0.9970,0.9989
Top Feature,price_level (24%),price_level (24%),price_level (24%)
